latitude,longitude,cemetery,historic_county,type,cremation_burials,inhumation_burials,date_range,citation,museum,link,full_reference,the_geom,created_at,updated_at,cartodb_id
51.372784,-0.1337098,Beddington,Surrey,Mixed Cemetery,10,13,5th to 6th c,Addy 1874,Unknown Location,,,0101000020E61000003CCD1319671DC1BF6D3CD862B7AF4940,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,21
54.005719,-0.4116191,Cheesecake Hill,Yorkshire,Majority Inhumation Cemetery,3,24,5th to 6th c,Akerman 1855,Unknown Location,,,0101000020E61000004C2C3AA3F757DABFA0FB7266BB004B40,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,61
51.727123,-1.4483299,Brighthampton,Oxfordshire,Majority Inhumation Cemetery,11,70,6th c,"Akerman 1858; Akerman 1860; Atkinson and Kirk 1949",Unknown Location,,,0101000020E61000006C1A25F95B2CF7BFAF95D05D12DD4940,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,36
51.638573,-1.2138655,Longthorpe,Berkshire,Majority Inhumation Cemetery,47,189,5th to 6th c,"Akerman 1861; 1863",Unknown Location,,,0101000020E61000000DE2033BFE6BF3BFE78D93C2BCD14940,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,146
51.662881,-1.3681457,Frilford I,Berkshire,Mixed Cemetery,10,13,5th to 6th c,"Akerman 1867; Rolleston 1869; 1880; Peake 1913; Brown 1915",Unknown Location,,,0101000020E6100000C29BDABEECE3F5BFE411DC48D9D44940,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,102
52.311364,0.6317313,West Stow,Suffolk,Majority Inhumation Cemetery,1,100,5th to 7th c,"Alkerman 1855; West 1985",Unknown Location,,,0101000020E61000008E812B8F2437E43F6C938AC6DA274A40,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,248
51.320897,-1.7789608,Pewsey,Wiltshire,Majority Inhumation Cemetery,3,124,Late 5th toEarly 6th c,Annable and Eagles 2010,Unknown Location,,,0101000020E61000001FDB8D999F76FCBF3831242713A94940,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,172
51.895095,-0.43188751,Argyll Avenue,Bedfordshire,Mixed Cemetery,8,45,6th to 7th c,Austin 1928,Unknown Location,,,0101000020E61000004D0EC0820BA4DBBF14E8137992F24940,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,11
52.448114,-0.82432916,Desborough II,Northamptonshire,Mixed Cemetery,2,2,5th to 6th c,Baker 1880,Unknown Location,,,0101000020E610000054DAEA8BE760EABF9B70AFCC5B394A40,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,77
52.39182,-0.76998223,Cransley,Northamptonshire,Mixed Cemetery,1,1,5th to 6th c,Baker 1883a,Unknown Location,,,0101000020E61000009F3C0BC6B1A3E8BF99F5622827324A40,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,72
52.030215,-1.7361297,Blockley,Gloucestershire,Mixed Cemetery,1,5,5th to 6th c,Barnard 1925,Unknown Location,,,0101000020E610000023D4B1EF2FC7FBBFA06CCA15DE034A40,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,28
52.167368,-1.232363,Churchover,Northamptonshire,Majority Inhumation Cemetery,1,7,Mid-5th to 6th c,"Bloxam 1840; Morris 1959",Unknown Location,,,0101000020E6100000A3CEDC43C2B7F3BFCF328B506C154A40,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,64
51.656204,-1.1629647,Berinsfield,Oxfordshire,Majority Inhumation Cemetery,2,103,Early 5th to 7th c,Boyle et al 1995,Unknown Location,,,0101000020E610000071708EDF809BF2BF90C01F7EFED34940,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,23
